	 Token	 Num. Token	 Posición tabla	 Num. Linea
	#hola		105		0		1
	integer		506		-1		2
	#i		101		1		2
	[		606		-1		2
	1		800		-1		2
	]		607		-1		2
	;		603		-1		2
	integer		506		-1		3
	#z		101		2		3
	;		603		-1		3
	procedure		518		-1		4
	#a		105		2		4
	(		601		-1		4
	integer		506		-1		4
	#j		101		3		4
	)		602		-1		4
	{		608		-1		4
	}		609		-1		5
	{		608		-1		6
	#z		101		2		7
	=		605		-1		7
	0		800		-1		7
	;		603		-1		7
	#i		101		1		8
	[		606		-1		8
	#z		101		2		8
	]		607		-1		8
	=		605		-1		8
	1		800		-1		8
	+		202		-1		8
	1		800		-1		8
	;		603		-1		8
	}		609		-1		9
